frequency	V(onoise)
1.00E+00	2.71013726192641E-08
1.02329299228075	2.71013726192641E-08
1.04712854805089	2.71013726192641E-08
1.0715193052376	2.71013726192641E-08
1.09647819614318	2.71013726192641E-08
1.12201845430196	2.71013726192641E-08
1.14815362149688	2.71013726192641E-08
1.17489755493952	2.71013726192641E-08
1.20226443461741	2.71013726192641E-08
1.23026877081238	2.71013726192641E-08
1.25892541179416	2.71013726192641E-08
1.28824955169313	2.71013726192641E-08
1.3182567385564	2.71013726192641E-08
1.34896288259165	2.71013726192641E-08
1.38038426460288	2.71013726192641E-08
1.41253754462275	2.71013726192641E-08
1.44543977074592	2.71013726192641E-08
1.4791083881682	2.71013726192641E-08
1.5135612484362	2.71013726192641E-08
1.54881661891248	2.71013726192641E-08
1.58489319246111	2.71013726192641E-08
1.62181009735892	2.71013726192641E-08
1.65958690743756	2.71013726192641E-08
1.69824365246174	2.71013726192641E-08
1.73780082874937	2.71013726192641E-08
1.77827941003892	2.71013726192641E-08
1.81970085860998	2.71013726192641E-08
1.86208713666286	2.71013726192641E-08
1.90546071796324	2.71013726192641E-08
1.94984459975804	2.71013726192641E-08
1.99526231496887	2.71013726192641E-08
2.04173794466952	2.71013726192641E-08
2.08929613085403	2.71013726192641E-08
2.13796208950223	2.71013726192641E-08
2.18776162394955	2.71013726192641E-08
2.23872113856833	2.71013726192641E-08
2.29086765276777	2.71013726192641E-08
2.34422881531991	2.71013726192641E-08
2.39883291901948	2.71013726192641E-08
2.45470891568502	2.71013726192641E-08
2.51188643150957	2.71013726192641E-08
2.57039578276886	2.71013726192641E-08
2.63026799189537	2.71013726192641E-08
2.69153480392691	2.71013726192641E-08
2.75422870333816	2.71013726192641E-08
2.81838293126445	2.71013726192641E-08
2.8840315031266	2.71013726192641E-08
2.95120922666638	2.71013726192641E-08
3.01995172040201	2.71013726192641E-08
3.09029543251358	2.71013726192641E-08
3.16227766016837	2.71013726192641E-08
3.23593656929627	2.71013726192641E-08
3.3113112148259	2.71013726192641E-08
3.38844156139202	2.71013726192641E-08
3.46736850452531	2.71013726192641E-08
3.54813389233574	2.71013726192641E-08
3.630780547701	2.71013726192641E-08
3.71535229097171	2.71013726192641E-08
3.8018939632056	2.71013726192641E-08
3.89045144994279	2.71013726192641E-08
3.98107170553496	2.71013726192641E-08
4.07380277804111	2.71013726192641E-08
4.16869383470334	2.71013726192641E-08
4.26579518801591	2.71013726192641E-08
4.36515832240165	2.71013726192641E-08
4.46683592150962	2.71013726192641E-08
4.57088189614874	2.71013726192641E-08
4.67735141287197	2.71013726192641E-08
4.78630092322637	2.71013726192641E-08
4.89778819368445	2.71013726192641E-08
5.01187233627271	2.71013726192641E-08
5.12861383991363	2.71013726192641E-08
5.24807460249771	2.71013726192641E-08
5.37031796370251	2.71013726192641E-08
5.49540873857623	2.71013726192641E-08
5.62341325190347	2.71013726192641E-08
5.75439937337155	2.71013726192641E-08
5.88843655355587	2.71013726192641E-08
6.02559586074356	2.71013726192641E-08
6.1659500186148	2.71013726192641E-08
6.30957344480191	2.71013726192641E-08
6.45654229034653	2.71013726192641E-08
6.60693448007594	2.71013726192641E-08
6.7608297539198	2.71013726192641E-08
6.91830970918934	2.71013726192641E-08
7.07945784384136	2.71013726192641E-08
7.24435960074988	2.71013726192641E-08
7.41310241300915	2.71013726192641E-08
7.58577575029181	2.71013726192641E-08
7.76247116628689	2.71013726192641E-08
7.94328234724279	2.71013726192641E-08
8.12830516164097	2.71013726192641E-08
8.31763771102668	2.71013726192641E-08
8.51138038202374	2.71013726192641E-08
8.70963589956078	2.71013726192641E-08
8.91250938133743	2.71013726192641E-08
9.12010839355907	2.71013726192641E-08
9.33254300796988	2.71013726192641E-08
9.54992586021433	2.71013726192641E-08
9.77237220955807	2.71013726192641E-08
9.99999999999997	2.71013726192641E-08
10.2329299228075	2.71013726192641E-08
10.4712854805089	2.71013726192641E-08
10.715193052376	2.71013726192641E-08
10.9647819614318	2.71013726192641E-08
11.2201845430196	2.71013726192641E-08
11.4815362149687	2.71013726192641E-08
11.7489755493952	2.71013726192641E-08
12.022644346174	2.71013726192641E-08
12.3026877081237	2.71013726192641E-08
12.5892541179416	2.71013726192641E-08
12.8824955169313	2.71013726192641E-08
13.182567385564	2.71013726192641E-08
13.4896288259164	2.71013726192641E-08
13.8038426460288	2.71013726192641E-08
14.1253754462274	2.71013726192641E-08
14.4543977074592	2.71013726192641E-08
14.791083881682	2.71013726192641E-08
15.135612484362	2.71013726192641E-08
15.4881661891247	2.71013726192641E-08
15.848931924611	2.71013726192641E-08
16.2181009735892	2.71013726192641E-08
16.5958690743755	2.71013726192641E-08
16.9824365246173	2.71013726192641E-08
17.3780082874936	2.71013726192641E-08
17.7827941003891	2.71013726192641E-08
18.1970085860997	2.71013726192641E-08
18.6208713666286	2.71013726192641E-08
19.0546071796324	2.71013726192641E-08
19.4984459975803	2.71013726192641E-08
19.9526231496887	2.71013726192641E-08
20.4173794466952	2.71013726192641E-08
20.8929613085403	2.71013726192641E-08
21.3796208950222	2.71013726192641E-08
21.8776162394954	2.71013726192641E-08
22.3872113856833	2.71013726192641E-08
22.9086765276776	2.71013726192641E-08
23.4422881531991	2.71013726192641E-08
23.9883291901948	2.71013726192641E-08
24.5470891568502	2.71013726192641E-08
25.1188643150957	2.71013726192641E-08
25.7039578276885	2.71013726192641E-08
26.3026799189537	2.71013726192641E-08
26.915348039269	2.71013726192641E-08
27.5422870333815	2.71013726192641E-08
28.1838293126444	2.71013726192641E-08
28.8403150312659	2.71013726192641E-08
29.5120922666637	2.71013726192641E-08
30.19951720402	2.71013726192641E-08
30.9029543251357	2.71013726192641E-08
31.6227766016836	2.71013726192641E-08
32.3593656929626	2.71013726192641E-08
33.1131121482589	2.71013726192641E-08
33.8844156139201	2.71013726192641E-08
34.673685045253	2.71013726192641E-08
35.4813389233573	2.71013726192641E-08
36.3078054770099	2.71013726192641E-08
37.153522909717	2.71013726192641E-08
