frequency   noise_req
0.7012311150045956  5.659446903343629e-06
1.4024622300091911  4.018721600619678e-06
2.1036933450137867  3.295003993997729e-06
2.8049244600183822  2.8653996805066975e-06
3.506155575022978  2.573440058404319e-06
4.207386690027573  2.35880888111665e-06
4.9086178050321685  2.1926755795673556e-06
5.6098489200367645  2.0592987500428957e-06
6.3110800350413605  1.9492619141680393e-06
7.012311150045956  1.8565426320190716e-06
7.713542265050551  1.777086809151212e-06
8.414773380055147  1.7080525010144398e-06
9.116004495059743  1.6473808468519113e-06
9.817235610064337  1.5935390726366926e-06
10.518466725068933  1.5453595529646368e-06
11.219697840073529  1.501935201121675e-06
11.920928955078125  1.4625492838091883e-06
12.622160070082721  1.426627029891595e-06
13.323391185087315  1.3937014638859744e-06
14.024622300091911  1.3633887742153525e-06
14.725853415096507  1.3353702241760773e-06
15.427084530101101  1.3093786469291108e-06
16.128315645105697  1.2851882125326262e-06
16.829546760110293  1.262606569963554e-06
17.53077787511489  1.2414687393111714e-06
18.232008990119486  1.2216323115780584e-06
18.93324010512408  1.2029736377886274e-06
19.634471220128674  1.1853847752583104e-06
20.33570233513327  1.1687710195256243e-06
21.036933450137866  1.153048893748145e-06
21.738164565142462  1.1381444986783167e-06
22.439395680147058  1.1239921492557205e-06
23.140626795151654  1.1105332408166805e-06
23.84185791015625  1.0977153006083476e-06
24.543089025160846  1.0854911898735395e-06
25.244320140165442  1.0738184290712035e-06
25.945551255170034  1.062658624405618e-06
26.64678237017463  1.0519769781811977e-06
27.348013485179226  1.0417418688894227e-06
28.049244600183822  1.0319244895982026e-06
28.75047571518842  1.0224985353213796e-06
29.451706830193014  1.0134399317237918e-06
30.15293794519761  1.0047265988609779e-06
30.854169060202203  9.963382447348112e-07
31.5554001752068  9.882561843227062e-07
32.256631290211395  9.804631804513079e-07
32.95786240521599  9.729433034689726e-07
33.65909352022059  9.656818071507074e-07
34.36032463522518  9.586650186649083e-07
35.06155575022978  9.518802407591644e-07
35.762786865234375  9.4531566459533e-07
36.46401798023897  9.389602918920829e-07
37.16524909524357  9.328038652244021e-07
37.86648021024816  9.26836805490315e-07
38.56771132525276  9.210501556911609e-07
39.26894244025735  9.154355302867526e-07
39.970173555261944  9.099850694846718e-07
40.67140467026654  9.046913979063656e-07
41.372635785271136  8.995475871440428e-07
42.07386690027573  8.945471217835319e-07
42.77509801528033  8.896838685208583e-07
43.476329130284924  8.849520480456264e-07
44.17756024528952  8.803462094034802e-07
44.878791360294116  8.758612065838612e-07
45.58002247529871  8.714921771087613e-07
46.28125359030331  8.672345224238307e-07
46.982484705307904  8.630838899155879e-07
47.6837158203125  8.590361563980459e-07
48.384946935317096  8.550874129292219e-07
49.08617805032169  8.512339508330402e-07
49.78740916532629  8.474722488153836e-07
50.488640280330884  8.437989610747125e-07
51.18987139533547  8.402109063179708e-07
51.89110251034007  8.367050576016083e-07
52.592333625344665  8.33278532925622e-07
53.29356474034926  8.299285865156788e-07
53.99479585535386  8.266526007347534e-07
54.69602697035845  8.234480785713838e-07
55.39725808536305  8.20312636656703e-07
56.098489200367645  8.172439987669203e-07
56.79972031537224  8.142399897719682e-07
57.50095143037684  8.112985299946459e-07
58.20218254538143  8.084176299478351e-07
58.90341366038603  8.055953854202817e-07
59.604644775390625  8.028299728840587e-07
60.30587589039522  8.001196451991819e-07
61.00710700539982  7.974627275929847e-07
61.708338120404406  7.948576138937795e-07
62.409569235409  7.923027630000656e-07
63.1108003504136  7.897966955681237e-07
63.812031465418194  7.873379909022558e-07
64.51326258042279  7.849252840332239e-07
65.2144936954274  7.825572629716153e-07
65.91572481043198  7.802326661239254e-07
66.61695592543659  7.779502798601244e-07
67.31818704044117  7.757089362223554e-07
68.01941815544576  7.735075107652164e-07
68.72064927045037  7.713449205188201e-07
69.42188038545495  7.692201220664907e-07
70.12311150045956  7.671321097295777e-07
70.82434261546415  7.650799138524251e-07
71.52557373046875  7.630625991810537e-07
72.22680484547334  7.610792633295833e-07
72.92803596047794  7.591290353288584e-07
73.62926707548253  7.572110742521387e-07
74.33049819048713  7.55324567913081e-07
75.03172930549172  7.534687316315778e-07
75.73296042049633  7.516428070633261e-07
76.43419153550091  7.498460610892904e-07
77.13542265050552  7.480777847614821e-07
77.8366537655101  7.463372923017229e-07
78.5378848805147  7.446239201502891e-07
79.2391159955193  7.429370260615349e-07
79.94034711052389  7.412759882437862e-07
80.64157822552849  7.396402045409822e-07
81.34280934053308  7.380290916536944e-07
82.04404045553768  7.364420843973155e-07
82.74527157054227  7.348786349953473e-07
83.44650268554688  7.333382124058501e-07
84.14773380055146  7.318203016792379e-07
84.84896491555607  7.303244033457163e-07
85.55019603056066  7.288500328307671e-07
86.25142714556526  7.273967198971796e-07
86.95265826056985  7.259640081122236e-07
87.65388937557445  7.245514543386402e-07
88.35512049057904  7.23158628248207e-07
89.05635160558364  7.217851118567128e-07
89.75758272058823  7.204304990792373e-07
90.45881383559282  7.190943953047031e-07
91.16004495059742  7.177764169887268e-07
91.86127606560201  7.16476191263847e-07
92.56250718060662  7.151933555662659e-07
93.2637382956112  7.139275572782869e-07
93.96496941061581  7.126784533856778e-07
94.6662005256204  7.114457101492322e-07
95.367431640625  7.102290027898426e-07
96.06866275562959  7.090280151864363e-07
96.76989387063419  7.07842439586159e-07
97.47112498563878  7.066719763262299e-07
98.17235610064338  7.055163335669158e-07
98.87358721564797  7.043752270351076e-07
99.57481833065258  7.032483797780071e-07
100.27604944565716  7.021355219264576e-07
100.97728056066177  7.010363904674795e-07
101.67851167566636  6.999507290255922e-07
102.37974279067095  6.988782876525235e-07
103.08097390567555  6.978188226249348e-07
103.78220502068014  6.967720962498036e-07
104.48343613568474  6.957378766771239e-07
105.18466725068933  6.947159377196041e-07
105.88589836569393  6.937060586790578e-07
106.58712948069852  6.927080241791967e-07
107.28836059570312  6.91721624004549e-07
107.98959171070771  6.907466529452431e-07
108.69082282571232  6.897829106474064e-07
109.3920539407169  6.888302014689413e-07
110.09328505572151  6.878883343404537e-07
110.7945161707261  6.869571226311191e-07
111.4957472857307  6.860363840192798e-07
112.19697840073529  6.851259403675818e-07
112.89820951573988  6.842256176024617e-07
113.59944063074448  6.833352455978089e-07
114.30067174574907  6.824546580626333e-07
115.00190286075367  6.81583692432578e-07
115.70313397575826  6.807221897651232e-07
116.40436509076287  6.798699946383335e-07
117.10559620576745  6.790269550530112e-07
117.80682732077206  6.78192922338118e-07
118.50805843577665  6.773677510593425e-07
119.20928955078125  6.765512989306868e-07
119.91052066578584  6.757434267289581e-07
120.61175178079044  6.749439982110535e-07
121.31298289579503  6.741528800339314e-07
122.01421401079963  6.733699416771674e-07
122.71544512580422  6.72595055367997e-07
123.41667624080881  6.718280960087533e-07
124.11790735581341  6.710689411066075e-07
124.819138470818  6.703174707055303e-07
125.5203695858226  6.695735673203891e-07
126.2216007008272  6.688371158731057e-07
126.9228318158318  6.681080036307952e-07
127.62406293083639  6.673861201458198e-07
128.325294045841  6.666713571976829e-07
129.02652516084558  6.659636087367004e-07
129.72775627585017  6.652627708293863e-07
130.4289873908548  6.645687416054891e-07
131.13021850585938  6.638814212066226e-07
131.83144962086396  6.632007117364356e-07
132.53268073586855  6.625265172122641e-07
133.23391185087317  6.618587435182173e-07
133.93514296587776  6.611972983596461e-07
134.63637408088235  6.605420912189469e-07
135.33760519588694  6.598930333126548e-07
136.03883631089153  6.592500375497836e-07
136.74006742589614  6.586130184913672e-07
137.44129854090073  6.57981892311166e-07
138.14252965590532  6.573565767574955e-07
138.8437607709099  6.567369911161421e-07
139.54499188591453  6.561230561743289e-07
140.24622300091912  6.555146941856962e-07
140.9474541159237  6.54911828836265e-07
141.6486852309283  6.543143852113504e-07
142.3499163459329  6.537222897633926e-07
143.0511474609375  6.531354702806785e-07
143.7523785759421  6.52553855856923e-07
144.45360969094668  6.51977376861683e-07
145.1548408059513  6.514059649115777e-07
145.85607192095588  6.5083955284229e-07
146.55730303596047  6.502780746813218e-07
147.25853415096506  6.497214656214841e-07
147.95976526596965  6.491696619950931e-07
148.66099638097427  6.486226012488554e-07
149.36222749597886  6.480802219194177e-07
150.06345861098345  6.47542463609561e-07
150.76468972598803  6.470092669650213e-07
151.46592084099265  6.464805736519146e-07
152.16715195599724  6.459563263347499e-07
152.86838307100183  6.45436468655012e-07
153.56961418600642  6.449209452102966e-07
154.27084530101104  6.444097015339802e-07
154.97207641601562  6.439026840754108e-07
155.6733075310202  6.433998401806018e-07
156.3745386460248  6.429011180734157e-07
157.0757697610294  6.424064668372218e-07
157.777000876034  6.41915836397015e-07
158.4782319910386  6.414291775019821e-07
159.1794631060432  6.409464417085009e-07
159.88069422104778  6.404675813635623e-07
160.5819253360524  6.39992549588601e-07
161.28315645105698  6.395213002637233e-07
161.98438756606157  6.390537880123218e-07
162.68561868106616  6.385899681860646e-07
163.38684979607078  6.381297968502486e-07
164.08808091107537  6.376732307695077e-07
164.78931202607995  6.372202273938642e-07
165.49054314108454  6.367707448451152e-07
166.19177425608916  6.363247419035434e-07
166.89300537109375  6.358821779949444e-07
167.59423648609834  6.354430131779609e-07
168.29546760110293  6.350072081317154e-07
168.99669871610752  6.34574724143734e-07
169.69792983111213  6.341455230981519e-07
170.39916094611672  6.337195674641942e-07
171.1003920611213  6.332968202849241e-07
171.8016231761259  6.328772451662505e-07
172.50285429113052  6.324608062661893e-07
173.2040854061351  6.320474682843708e-07
173.9053165211397  6.316371964517864e-07
174.60654763614428  6.312299565207691e-07
175.3077787511489  6.308257147552004e-07
176.0090098661535  6.304244379209392e-07
176.71024098115808  6.300260932764647e-07
177.41147209616267  6.296306485637298e-07
178.1127032111673  6.292380719992188e-07
178.81393432617188  6.288483322652026e-07
179.51516544117646  6.284613985011886e-07
180.21639655618105  6.280772402955593e-07
180.91762767118564  6.276958276773939e-07
181.61885878619026  6.273171311084695e-07
182.32008990119485  6.269411214754362e-07
183.02132101619944  6.265677700821634e-07
183.72255213120403  6.261970486422502e-07
184.42378324620864  6.258289292716988e-07
185.12501436121323  6.254633844817441e-07
185.82624547621782  6.251003871718378e-07
186.5274765912224  6.247399106227817e-07
187.22870770622703  6.243819284900067e-07
187.92993882123162  6.24026414796995e-07
188.6311699362362  6.236733439288396e-07
189.3324010512408  6.233226906259413e-07
190.0336321662454  6.229744299778352e-07
190.73486328125  6.226285374171485e-07
191.4360943962546  6.22284988713682e-07
192.13732551125918  6.219437599686156e-07
192.83855662626377  6.216048276088329e-07
193.53978774126838  6.212681683813624e-07
194.24101885627297  6.209337593479331e-07
194.94224997127756  6.20601577879641e-07
195.64348108628215  6.202716016517246e-07
196.34471220128677  6.19943808638446e-07
197.04594331629136  6.196181771080755e-07
197.74717443129595  6.192946856179779e-07
198.44840554630053  6.189733130097965e-07
199.14963666130515  6.186540384047342e-07
199.85086777630974  6.183368411989286e-07
200.55209889131433  6.18021701058919e-07
201.25333000631892  6.177085979172022e-07
201.95456112132354  6.173975119678784e-07
202.65579223632812  6.170884236623802e-07
203.3570233513327  6.167813137052867e-07
204.0582544663373  6.164761630502196e-07
204.7594855813419  6.16172952895818e-07
205.4607166963465  6.158716646817928e-07
206.1619478113511  6.155722800850566e-07
206.8631789263557  6.152747810159282e-07
207.56441004136028  6.149791496144103e-07
208.2656411563649  6.146853682465386e-07
208.96687227136948  6.143934195008006e-07
209.66810338637407  6.141032861846222e-07
210.36933450137866  6.138149513209211e-07
